Sequence,NodeNo,NodeName,componentName,Type,RefNo,Point,PPoint,Bore,O/D,Wall Thickness,Corrosion Allowance,Radius,SIF,LTube Length,Weight,Material,Rigid Weight,Rigid,East,North,Up,Conn Ref,Connected Type,Insu Material,Insu Thickness,Status,Bend Type,Pressure,Temperature,Restraint Type,Restraint Stiffness,Restraint Friction,Restraint Gap
1,,,unset,BRAN,=67132086/1604,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,START,150000.000mm,152977.400mm,101336.500mm,Unset,BWD,0,0,,0,0,-100000,,,,
2,10,,unset,WELD,=67132086/1605,1,1,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,,150000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
3,20,,unset,WELD,=67132086/1605,2,2,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,END,150000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
4,30,PS-171001.1,PS-171001.1,ATTA,=67132086/1606,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
5,40,PS-171001.3,PS-171001.3,ATTA,=67132086/1607,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
6,50,PS-171001.2,PS-171001.2,ATTA,=67132086/1608,0,0,250mm,273,0.000,0,0.000,0,699mm,0.000,,0.000,,150000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
7,60,17-VBL-20011,unset,FBLI,=67132086/1609,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,150000.000mm,151870.501mm,101336.500mm,Unset,,,0,,0,,,,,,
8,,,unset,FBLI,=67132086/1609,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
9,,,unset,GASK,=67132086/1610,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
10,,,unset,GASK,=67132086/1610,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
11,,,17-VBL-20011,VALV,=67132086/1611,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
12,,,17-VBL-20011,VALV,=67132086/1611,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
13,,,unset,GASK,=67132086/1612,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
14,,,unset,GASK,=67132086/1612,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
15,,,unset,FLAN,=67132086/1613,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,150000.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
16,70,17-VBL-20011,unset,FLAN,=67132086/1613,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,END,150000.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
17,,,unset,ELBO,=67132086/1614,1,1,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150000.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
18,80,,unset,ELBO,=67132086/1614,0,0,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150000.000mm,150466.601mm,101336.500mm,Unset,,,0,,1,,,,,,
19,,,unset,ELBO,=67132086/1614,2,2,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,150381.000mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
20,90,PS-171002.1,PS-171002.1,ATTA,=67132086/1615,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152099.987mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
21,100,PS-171002.2,PS-171002.2,ATTA,=67132086/1616,0,0,250mm,273,0.000,0,0.000,0,1164mm,0.000,,0.000,,152099.987mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
22,,,unset,ELBO,=67132086/1617,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,152819.000mm,150466.601mm,101336.500mm,Unset,,,0,,0,,,,,,
23,110,,unset,ELBO,=67132086/1617,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,153200.000mm,150466.601mm,101336.500mm,Unset,,,0,,1,,,,,,
24,,,unset,ELBO,=67132086/1617,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,153200.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
25,120,17-VCH-20001,unset,FLAN,=67132086/1618,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,153200.000mm,150847.601mm,101336.500mm,Unset,,,0,,0,,,,,,
26,,,unset,FLAN,=67132086/1618,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
27,,,unset,GASK,=67132086/1619,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151006.601mm,101336.500mm,Unset,,,0,,0,,,,,,
28,,,unset,GASK,=67132086/1619,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
29,,,17-VCH-20001,VALV,=67132086/1620,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151009.801mm,101336.500mm,Unset,,,0,,0,,,,,,
30,,,17-VCH-20001,VALV,=67132086/1620,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
31,,,unset,GASK,=67132086/1621,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151796.801mm,101336.500mm,Unset,,,0,,0,,,,,,
32,,,unset,GASK,=67132086/1621,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
33,,,unset,FLAN,=67132086/1622,1,1,250mm,273,0.000,0,0.000,0,124mm,0.000,,0.000,,153200.000mm,151800.001mm,101336.500mm,Unset,,,0,,0,,,,,,
34,130,17-VCH-20001,unset,FLAN,=67132086/1622,2,2,250mm,273,0.000,0,0.000,0,124mm,0.000,,0.000,END,153200.000mm,151959.001mm,101336.500mm,Unset,,,0,,0,,,,,,
35,,,unset,OLET,=67132086/1623,1,1,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,153200.000mm,152084.000mm,101336.500mm,=67132086/204,,,0,,0,,,,,,
36,,,unset,OLET,=67132086/1623,3,3,50mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,153200.000mm,152084.000mm,101511.100mm,=67132086/204,,,0,,0,,,,,,
37,140,,unset,OLET,=67132086/1623,0,0,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,153200.000mm,152084.000mm,101336.500mm,=67132086/204,,,0,,0,,,,,,
38,,,unset,OLET,=67132086/1623,2,2,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,153200.000mm,152084.000mm,101336.500mm,=67132086/204,,,0,,0,,,,,,
39,150,PS-171003.2,PS-171003.2,ATTA,=67132086/1624,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
40,160,PS-171003.4,PS-171003.4,ATTA,=67132086/1625,0,0,250mm,273,0.000,0,0.000,0,734mm,0.000,,0.000,,153200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
41,170,17-VBL-20012,unset,FLAN,=67132086/1626,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,153200.000mm,152922.400mm,101336.500mm,Unset,,,0,,0,,,,,,
42,,,unset,FLAN,=67132086/1626,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
43,,,unset,GASK,=67132086/1627,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
44,,,unset,GASK,=67132086/1627,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
45,,,17-VBL-20012,VALV,=67132086/1628,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
46,,,17-VBL-20012,VALV,=67132086/1628,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
47,,,unset,GASK,=67132086/1629,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
48,,,unset,GASK,=67132086/1629,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
49,,,unset,PCOM,=67132086/1630,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
50,,,unset,PCOM,=67132086/1630,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
51,,,unset,GASK,=67132086/1631,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
52,,,unset,GASK,=67132086/1631,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
53,,,unset,FLAN,=67132086/1632,1,1,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,,153200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
54,180,17-VBL-20012,unset,FLAN,=67132086/1632,2,2,250mm,273,0.000,0,0.000,0,191mm,0.000,,0.000,END,153200.000mm,154072.100mm,101336.500mm,Unset,,,0,,0,,,,,,
55,190,PS-171006.2,PS-171006.2,ATTA,=67132086/1633,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
56,200,PS-171006.6,PS-171006.6,ATTA,=67132086/1634,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
57,210,PS-171006.4,PS-171006.4,ATTA,=67132086/1635,0,0,250mm,273,0.000,0,0.000,0,270mm,0.000,,0.000,,153200.000mm,154263.397mm,101336.500mm,Unset,,,0,,0,,,,,,
58,,,unset,OLET,=67132086/1636,1,1,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,153200.000mm,154533.800mm,101336.500mm,=67132086/1646,,,0,,0,,,,,,
59,,,unset,OLET,=67132086/1636,3,3,50mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,153200.000mm,154533.800mm,101161.900mm,=67132086/1646,,,0,,0,,,,,,
60,220,,unset,OLET,=67132086/1636,0,0,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,153200.000mm,154533.800mm,101336.500mm,=67132086/1646,,,0,,0,,,,,,
61,,,unset,OLET,=67132086/1636,2,2,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,153200.000mm,154533.800mm,101336.500mm,=67132086/1646,,,0,,0,,,,,,
62,,,unset,TEE,=67132086/1637,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,154683.800mm,101336.500mm,=67132086/1452,,,0,,0,,,,,,
63,,,unset,TEE,=67132086/1637,3,3,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,152984.000mm,154899.800mm,101336.500mm,=67132086/1452,,,0,,0,,,,,,
64,230,,unset,TEE,=67132086/1637,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,154899.800mm,101336.500mm,=67132086/1452,,,0,,0,,,,,,
65,,,unset,TEE,=67132086/1637,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,155115.800mm,101336.500mm,=67132086/1452,,,0,,0,,,,,,
66,240,,unset,FLAN,=67132086/1638,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,153200.000mm,155115.800mm,101336.500mm,Unset,,,0,,0,,,,,,
67,,,unset,FLAN,=67132086/1638,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
68,,,unset,GASK,=67132086/1639,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,155274.800mm,101336.500mm,Unset,,,0,,0,,,,,,
69,,,unset,GASK,=67132086/1639,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
70,,,unset,INST,=67132086/1640,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,155278.000mm,101336.500mm,Unset,,,0,,0,,,,,,
71,,,unset,INST,=67132086/1640,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
72,,,unset,GASK,=67132086/1641,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,156065.000mm,101336.500mm,Unset,,,0,,0,,,,,,
73,,,unset,GASK,=67132086/1641,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
74,,,unset,FLAN,=67132086/1642,1,1,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,,153200.000mm,156068.200mm,101336.500mm,Unset,,,0,,0,,,,,,
75,250,,unset,FLAN,=67132086/1642,2,2,250mm,273,0.000,0,0.000,0,880mm,0.000,,0.000,END,153200.000mm,156227.200mm,101336.500mm,Unset,,,0,,0,,,,,,
76,260,PS-171007.1,PS-171007.1,ATTA,=67132086/1643,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,153200.000mm,157108.000mm,101336.497mm,Unset,,,0,,0,,,,,,
77,270,PS-171007.6,PS-171007.6,ATTA,=67132086/1644,0,0,250mm,273,0.000,0,0.000,0,1458mm,0.000,,0.000,,153200.000mm,157108.000mm,101336.497mm,Unset,,,0,,0,,,,,,
78,,,unset,ELBO,=67132086/1645,1,1,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,153200.000mm,158290.504mm,101336.497mm,Unset,,,0,,0,,,,,,
79,280,,unset,ELBO,=67132086/1645,0,0,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,153200.000mm,158449.504mm,101336.497mm,Unset,,,0,,0,,,,,,
80,,,unset,ELBO,=67132086/1645,2,2,250mm,273,0.000,0,383.860,0,161mm,0.000,,0.000,,153200.000mm,158561.934mm,101224.067mm,Unset,,,0,,0,,,,,,
81,290,,unset,BRAN,=67132086/1604,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,,153200.000mm,158858.200mm,100927.800mm,=67132086/1664,TEE,0,0,,0,0,-100000,,,,
82,,,unset,BRAN,=67132086/1554,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,0,0.000,START,155000.000mm,152977.400mm,101336.500mm,Unset,BWD,0,0,,0,0,-100000,,,,
83,300,,unset,WELD,=67132086/1555,1,1,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,,155000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
84,310,,unset,WELD,=67132086/1555,2,2,250mm,273,0.000,0,0.000,0,477mm,0.000,,0.000,END,155000.000mm,152977.400mm,101336.500mm,Unset,,,0,,0,,,,,,
85,320,PS-171009.1,PS-171009.1,ATTA,=67132086/1556,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
86,330,PS-171009.3,PS-171009.3,ATTA,=67132086/1557,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
87,340,PS-171009.2,PS-171009.2,ATTA,=67132086/1558,0,0,250mm,273,0.000,0,0.000,0,700mm,0.000,,0.000,,155000.000mm,152500.000mm,101336.500mm,Unset,,,0,,0,,,,,,
88,350,17-VBL-20021,unset,FBLI,=67132086/1559,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,155000.000mm,151870.500mm,101336.500mm,Unset,,,0,,0,,,,,,
89,,,unset,FBLI,=67132086/1559,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
90,,,unset,GASK,=67132086/1560,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
91,,,unset,GASK,=67132086/1560,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
92,,,17-VBL-20021,VALV,=67132086/1561,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
93,,,17-VBL-20021,VALV,=67132086/1561,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
94,,,unset,GASK,=67132086/1562,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
95,,,unset,GASK,=67132086/1562,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
96,,,unset,FLAN,=67132086/1563,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,155000.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
97,360,17-VBL-20021,unset,FLAN,=67132086/1563,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,END,155000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
98,,,unset,ELBO,=67132086/1564,1,1,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,155000.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
99,370,,unset,ELBO,=67132086/1564,0,0,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,155000.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
100,,,unset,ELBO,=67132086/1564,2,2,250mm,273,0.000,0,381.000,0,1718mm,0.000,,0.000,,155381.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
101,380,PS-171010.1,PS-171010.1,ATTA,=67132086/1565,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,157099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
102,390,PS-171010.2,PS-171010.2,ATTA,=67132086/1566,0,0,250mm,273,0.000,0,0.000,0,1164mm,0.000,,0.000,,157099.987mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
103,,,unset,ELBO,=67132086/1567,1,1,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,157819.000mm,150466.600mm,101336.500mm,Unset,,,0,,0,,,,,,
104,400,,unset,ELBO,=67132086/1567,0,0,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,158200.000mm,150466.600mm,101336.500mm,Unset,,,0,,1,,,,,,
105,,,unset,ELBO,=67132086/1567,2,2,250mm,273,0.000,0,381.000,0,0mm,0.000,,0.000,,158200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
106,410,17-VCH-20002,unset,FLAN,=67132086/1568,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,158200.000mm,150847.600mm,101336.500mm,Unset,,,0,,0,,,,,,
107,,,unset,FLAN,=67132086/1568,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
108,,,unset,GASK,=67132086/1569,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151006.600mm,101336.500mm,Unset,,,0,,0,,,,,,
109,,,unset,GASK,=67132086/1569,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
110,,,17-VCH-20002,VALV,=67132086/1570,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151009.800mm,101336.500mm,Unset,,,0,,0,,,,,,
111,,,17-VCH-20002,VALV,=67132086/1570,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
112,,,unset,GASK,=67132086/1571,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151796.800mm,101336.500mm,Unset,,,0,,0,,,,,,
113,,,unset,GASK,=67132086/1571,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
114,,,unset,FLAN,=67132086/1572,1,1,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,,158200.000mm,151800.000mm,101336.500mm,Unset,,,0,,0,,,,,,
115,420,17-VCH-20002,unset,FLAN,=67132086/1572,2,2,250mm,273,0.000,0,0.000,0,125mm,0.000,,0.000,END,158200.000mm,151959.000mm,101336.500mm,Unset,,,0,,0,,,,,,
116,,,unset,OLET,=67132086/1573,1,1,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,158200.000mm,152084.000mm,101336.500mm,=67132086/232,,,0,,0,,,,,,
117,,,unset,OLET,=67132086/1573,3,3,50mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,158200.000mm,152084.000mm,101511.100mm,=67132086/232,,,0,,0,,,,,,
118,430,,unset,OLET,=67132086/1573,0,0,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,158200.000mm,152084.000mm,101336.500mm,=67132086/232,,,0,,0,,,,,,
119,,,unset,OLET,=67132086/1573,2,2,250mm,273,0.000,0,0.000,0,262mm,0.000,,0.000,,158200.000mm,152084.000mm,101336.500mm,=67132086/232,,,0,,0,,,,,,
120,440,PS-171011.2,PS-171011.2,ATTA,=67132086/1574,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
121,450,PS-171011.4,PS-171011.4,ATTA,=67132086/1575,0,0,250mm,273,0.000,0,0.000,0,734mm,0.000,,0.000,,158200.000mm,152347.000mm,101336.500mm,Unset,,,0,,0,,,,,,
122,460,17-VBL-20022,unset,FLAN,=67132086/1576,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,START,158200.000mm,152922.400mm,101336.500mm,Unset,,,0,,0,,,,,,
123,,,unset,FLAN,=67132086/1576,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
124,,,unset,GASK,=67132086/1577,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153081.400mm,101336.500mm,Unset,,,0,,0,,,,,,
125,,,unset,GASK,=67132086/1577,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
126,,,17-VBL-20022,VALV,=67132086/1578,1,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153084.600mm,101336.500mm,Unset,,,0,,0,,,,,,
127,,,17-VBL-20022,VALV,=67132086/1578,2,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
128,,,unset,GASK,=67132086/1579,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153871.600mm,101336.500mm,Unset,,,0,,0,,,,,,
129,,,unset,GASK,=67132086/1579,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
130,,,unset,PCOM,=67132086/1580,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153874.800mm,101336.500mm,Unset,,,0,,0,,,,,,
131,,,unset,PCOM,=67132086/1580,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
132,,,unset,GASK,=67132086/1581,1,1,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153909.900mm,101336.500mm,Unset,,,0,,0,,,,,,
133,,,unset,GASK,=67132086/1581,2,2,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
134,,,unset,FLAN,=67132086/1582,1,1,250mm,273,0.000,0,0.000,0,192mm,0.000,,0.000,,158200.000mm,153913.100mm,101336.500mm,Unset,,,0,,0,,,,,,
135,470,17-VBL-20022,unset,FLAN,=67132086/1582,2,2,250mm,273,0.000,0,0.000,0,192mm,0.000,,0.000,END,158200.000mm,154072.100mm,101336.500mm,Unset,,,0,,0,,,,,,
136,480,PS-171015.3,PS-171015.3,ATTA,=67132086/1583,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,154265.000mm,101336.500mm,Unset,,,0,,0,,,,,,
137,490,PS-171015.6,PS-171015.6,ATTA,=67132086/1584,0,0,250mm,273,0.000,0,0.000,0,0mm,0.000,,0.000,,158200.000mm,154265.000mm,101336.500mm,Unset,,,0,,0,,,,,,
138,500,PS-171015.4,PS-171015.4,ATTA,=67132086/1585,0,0,250mm,273,0.000,0,0.000,0,268mm,0.000,,0.000,,158200.000mm,154265.000mm,101336.500mm,Unset,,,0,,0,,,,,,
139,,,unset,OLET,=67132086/1586,1,1,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,158200.000mm,154533.800mm,101336.500mm,=67132086/1596,,,0,,0,,,,,,
140,,,unset,OLET,=67132086/1586,3,3,50mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,158200.000mm,154533.800mm,101161.900mm,=67132086/1596,,,0,,0,,,,,,
141,510,,unset,OLET,=67132086/1586,0,0,250mm,273,0.000,0,0.000,0,150mm,0.000,,0.000,,158200.000mm,154533.800mm,101336.500mm,=67132086/1596,,,0,,0,,,,,,
